STAROST,POSAO,BRACNO_STANJE,OBRAZOVANJE,SREDNJE_GOD_STANJE_EUR,STAMBENI_KREDIT,LICNI_KREDIT,KONTAKT,DUZINA_RAZGOVORA_SEC,BROJ_RAZGOVORA,OROCENA_STEDNJA
30,nezaposlen,u_braku,osnevne,1787,ne,ne,mobilni,79,1,ne
33,usluge,u_braku,srednje,4789,da,da,mobilni,220,1,ne
35,rukovodstvo,samac,visoko,1350,da,ne,mobilni,185,1,ne
30,rukovodstvo,u_braku,visoko,1476,da,da,nepoznato,199,4,ne
59,manuelni_poslovi,u_braku,srednje,0,da,ne,nepoznato,226,1,ne
35,rukovodstvo,samac,visoko,747,ne,ne,mobilni,141,2,ne
36,samozaposlen,u_braku,visoko,307,da,ne,mobilni,341,1,ne
39,tehnicar,u_braku,srednje,147,da,ne,mobilni,151,2,ne
41,preduzetnik,u_braku,visoko,221,da,ne,nepoznato,57,2,ne
43,usluge,u_braku,osnevne,-88,da,da,mobilni,313,1,ne
39,usluge,u_braku,srednje,9374,da,ne,nepoznato,273,1,ne
43,admin.,u_braku,srednje,264,da,ne,mobilni,113,2,ne
36,tehnicar,u_braku,visoko,1109,ne,ne,mobilni,328,2,ne
20,student,samac,srednje,502,ne,ne,mobilni,261,1,da
31,manuelni_poslovi,u_braku,srednje,360,da,da,mobilni,89,1,ne
40,rukovodstvo,u_braku,visoko,194,ne,da,mobilni,189,2,ne
56,tehnicar,u_braku,srednje,4073,ne,ne,mobilni,239,5,ne
37,admin.,samac,visoko,2317,da,ne,mobilni,114,1,ne
25,manuelni_poslovi,samac,osnevne,-221,da,ne,nepoznato,250,1,ne
31,usluge,u_braku,srednje,132,ne,ne,mobilni,148,1,ne
38,rukovodstvo,razveden(a),nepoznato,0,da,ne,mobilni,96,2,ne
42,rukovodstvo,razveden(a),visoko,16,ne,ne,mobilni,140,3,ne
44,usluge,samac,srednje,106,ne,ne,nepoznato,109,2,ne
44,preduzetnik,u_braku,srednje,93,ne,ne,mobilni,125,2,ne
26,sluzavka,u_braku,visoko,543,ne,ne,mobilni,169,3,ne
41,rukovodstvo,u_braku,visoko,5883,ne,ne,mobilni,182,2,ne
55,manuelni_poslovi,u_braku,osnevne,627,da,ne,nepoznato,247,1,ne
67,retired,u_braku,nepoznato,696,ne,ne,fiksni,119,1,ne
56,samozaposlen,u_braku,srednje,784,ne,da,mobilni,149,2,ne
53,admin.,u_braku,srednje,105,ne,da,mobilni,74,2,ne
68,retired,razveden(a),srednje,4189,ne,ne,fiksni,897,2,da
31,tehnicar,u_braku,srednje,171,ne,ne,mobilni,81,3,ne
59,rukovodstvo,u_braku,srednje,42,ne,ne,mobilni,40,1,ne
32,rukovodstvo,samac,visoko,2536,da,ne,mobilni,958,6,da
49,tehnicar,u_braku,visoko,1235,ne,ne,mobilni,354,3,da
42,admin.,razveden(a),srednje,1811,da,ne,nepoznato,150,1,ne
78,retired,razveden(a),osnevne,229,ne,ne,fiksni,97,1,da
32,manuelni_poslovi,u_braku,srednje,2089,da,ne,mobilni,132,1,da
33,rukovodstvo,u_braku,srednje,3935,da,ne,mobilni,765,1,da
23,usluge,samac,visoko,363,da,ne,nepoznato,16,18,ne
38,rukovodstvo,samac,visoko,11971,da,ne,nepoznato,609,2,ne
36,rukovodstvo,samac,visoko,553,ne,ne,mobilni,106,2,ne
52,manuelni_poslovi,u_braku,srednje,1117,da,ne,mobilni,365,1,ne
32,tehnicar,u_braku,visoko,396,da,ne,mobilni,205,3,ne
32,tehnicar,samac,visoko,2204,da,ne,mobilni,11,4,ne
34,rukovodstvo,samac,visoko,872,da,ne,nepoznato,105,2,ne
55,manuelni_poslovi,u_braku,osnevne,145,ne,ne,fiksni,59,3,ne
26,manuelni_poslovi,u_braku,osnevne,0,da,ne,nepoznato,425,1,ne
32,preduzetnik,samac,osnevne,-849,da,da,mobilni,204,1,ne
61,admin.,u_braku,nepoznato,4629,da,ne,mobilni,181,1,da
45,manuelni_poslovi,razveden(a),osnevne,844,ne,ne,nepoznato,1018,3,da
37,tehnicar,samac,srednje,228,da,ne,mobilni,1740,2,ne
