Recency,Frequency,Monetary,Time,Class
2,50,12500,98,yes
0,13,3250,28,yes
1,16,4000,35,yes
2,20,5000,45,yes
1,24,6000,77,no
4,4,1000,4,no
2,7,1750,14,yes
1,12,3000,35,no
2,9,2250,22,yes
5,46,11500,98,yes
4,23,5750,58,no
0,3,750,4,no
2,10,2500,28,yes
1,13,3250,47,no
2,6,1500,15,yes
2,5,1250,11,yes
2,14,3500,48,yes
2,15,3750,49,yes
2,6,1500,15,yes
2,3,750,4,yes
2,3,750,4,yes
4,11,2750,28,no
2,6,1500,16,yes
2,6,1500,16,yes
9,9,2250,16,no
4,14,3500,40,no
4,6,1500,14,no
4,12,3000,34,yes
4,5,1250,11,yes
4,8,2000,21,no
1,14,3500,58,no
4,10,2500,28,yes
4,10,2500,28,yes
4,9,2250,26,yes
2,16,4000,64,no
2,8,2000,28,yes
2,12,3000,47,yes
4,6,1500,16,yes
2,14,3500,57,yes
4,7,1750,22,yes
2,13,3250,53,yes
2,5,1250,16,no
2,5,1250,16,yes
2,5,1250,16,no
4,20,5000,69,yes
4,9,2250,28,yes
2,9,2250,36,no
2,2,500,2,no
2,2,500,2,no
2,2,500,2,no
2,11,2750,46,no
2,11,2750,46,yes
2,6,1500,22,no
2,12,3000,52,no
4,5,1250,14,yes
4,19,4750,69,yes
4,8,2000,26,yes
2,7,1750,28,yes
2,16,4000,81,no
3,6,1500,21,no
2,7,1750,29,no
2,8,2000,35,yes
2,10,2500,49,no
4,5,1250,16,yes
2,3,750,9,yes
3,16,4000,74,no
2,4,1000,14,yes
0,2,500,4,no
4,7,1750,25,no
1,9,2250,51,no
2,4,1000,16,no
2,4,1000,16,no
4,17,4250,71,yes
2,2,500,4,no
2,2,500,4,yes
2,2,500,4,yes
2,4,1000,16,yes
2,2,500,4,no
2,2,500,4,no
2,2,500,4,no
4,6,1500,23,yes
2,4,1000,16,no
2,4,1000,16,no
2,4,1000,16,no
2,6,1500,28,yes
2,6,1500,28,no
4,2,500,4,no
4,2,500,4,no
4,2,500,4,no
2,7,1750,35,yes
4,2,500,4,yes
4,2,500,4,no
4,2,500,4,no
4,2,500,4,no
12,11,2750,23,no
4,7,1750,28,no
3,17,4250,86,no
4,9,2250,38,yes
4,4,1000,14,yes
5,7,1750,26,yes
4,8,2000,34,yes
2,13,3250,76,yes
4,9,2250,40,no
2,5,1250,26,no
2,5,1250,26,no
6,17,4250,70,no
0,8,2000,59,no
3,5,1250,26,no
2,3,750,14,no
2,10,2500,64,no
4,5,1250,23,yes
4,9,2250,46,no
4,5,1250,23,no
4,8,2000,40,yes
2,12,3000,82,no
11,24,6000,64,no
2,7,1750,46,yes
4,11,2750,61,no
1,7,1750,57,no
