"PREDMET","UPISALO","POLOZILO","PROSEK"
"Afina geometrija                                                                                                                                                                                        ",146,110,7.890909090909091
"Algebarska topologija                                                                                                                                                                                   ",2,0,5.0
"Algebra                                                                                                                                                                                                 ",130,44,6.727272727272727
"Algebra 1A                                                                                                                                                                                              ",148,90,7.966666666666667
"Algebra 1B                                                                                                                                                                                              ",1,1,6.0
"Algebra 3                                                                                                                                                                                               ",5,1,10.0
"Algoritmi i strukture podataka                                                                                                                                                                          ",128,102,7.627450980392156
"Algoritmi teksta                                                                                                                                                                                        ",1,0,5.0
"Analiticka geometrija                                                                                                                                                                                   ",593,269,7.892193308550185
"Analiza 1                                                                                                                                                                                               ",323,146,6.71917808219178
"Analiza 1A                                                                                                                                                                                              ",604,234,7.316239316239316
"Analiza 1B                                                                                                                                                                                              ",608,231,7.571428571428571
"Analiza 2                                                                                                                                                                                               ",136,91,7.164835164835164
"Analiza 2A                                                                                                                                                                                              ",133,105,7.866666666666666
"Analiza 2B                                                                                                                                                                                              ",129,57,8.12280701754386
"Analiza 3                                                                                                                                                                                               ",126,51,6.8431372549019605
"Analiza 4                                                                                                                                                                                               ",3,0,5.0
"Analiza 4, funkcionalni prostori                                                                                                                                                                        ",2,0,5.0
"Analiza i dizajn algoritama                                                                                                                                                                             ",129,71,7.619718309859155
"Analiza i dizajn algoritama 2                                                                                                                                                                           ",24,17,7.705882352941177
"Analiza i konstrukcija algoritama                                                                                                                                                                       ",4,2,10.0
"Analiza na mnogostrukostima                                                                                                                                                                             ",2,0,5.0
"Arhitektura i operativni sistemi                                                                                                                                                                        ",124,103,7.679611650485437
"Arhitektura slozenih softverskih sistema                                                                                                                                                                ",5,0,5.0
"Astronomska spektroskopija                                                                                                                                                                              ",3,1,9.0
"Automatsko rezonovanje                                                                                                                                                                                  ",14,1,10.0
"Baze podataka-napredni koncepti                                                                                                                                                                         ",13,0,5.0
"Diferencijalna geometrija                                                                                                                                                                               ",1,0,5.0
"Dinamicka astronomija                                                                                                                                                                                   ",1,0,5.0
"Diskretne strukture 1                                                                                                                                                                                   ",309,120,7.591666666666667
"Diskretne strukture 2                                                                                                                                                                                   ",314,108,8.083333333333332
"Elektromagnetizam i atomistika                                                                                                                                                                          ",6,0,5.0
"Engleski jezik 1                                                                                                                                                                                        ",302,188,8.484042553191488
"Engleski jezik 2                                                                                                                                                                                        ",132,124,8.137096774193548
"Evolucija ostataka supernovih                                                                                                                                                                           ",1,0,5.0
"Fizika 1                                                                                                                                                                                                ",35,6,9.0
"Fizika 2                                                                                                                                                                                                ",35,5,9.6
"Fizika medjuzvezdane materije                                                                                                                                                                           ",2,1,9.0
"Fizika Sunca                                                                                                                                                                                            ",4,2,10.0
"Genetski algoritmi                                                                                                                                                                                      ",9,0,5.0
"Geometrija                                                                                                                                                                                              ",129,109,7.834862385321101
"Geometrijska teorija funkcija                                                                                                                                                                           ",2,0,5.0
"Geometrijski algoritmi                                                                                                                                                                                  ",5,0,5.0
"Graficki korisnicki interfejsi                                                                                                                                                                          ",1,0,5.0
