transaction,product
1,B
1,E
1,H
2,A
2,B
2,E
2,F
3,B
3,C
3,F
3,H
4,A
4,D
4,F
4,G
5,B
5,D
5,E
5,F
6,A
6,B
6,D
6,F
6,G
7,C
7,D
7,G
7,H
8,A
8,C
8,D
8,F
8,G
9,B
9,C
9,G
9,H
10,A
10,D
10,E
10,F
10,G
11,E
11,G
11,H
12,B
12,C
13,A
13,D
13,F
13,G
13,H
14,A
14,D
14,E
14,F
14,G
14,H
15,B
15,C
15,E
16,A
16,B
16,C
16,D
16,E
16,F
16,G
17,A
17,B
17,H
18,A
18,C
19,B
19,C
19,F
20,D
20,H
21,B
21,E
21,H
22,A
22,B
22,E
22,F
23,B
23,C
23,F
23,H
24,A
24,D
24,F
24,G
25,B
25,D
25,E
25,F
26,A
26,B
26,D
26,F
26,G
27,C
27,D
27,G
27,H
28,A
28,C
28,D
28,F
28,G
29,B
29,C
29,G
29,H
30,A
30,D
30,E
30,F
30,G
31,E
31,G
31,H
32,B
32,C
33,A
33,D
33,F
33,G
33,H
34,A
34,D
34,E
34,F
34,G
34,H
35,B
35,C
35,E
36,A
36,B
36,C
36,D
36,E
36,F
36,G
37,A
37,B
37,H
38,A
38,C
39,B
39,C
39,F
40,D
40,H
41,B
41,E
41,H
42,A
42,B
42,E
42,F
43,B
43,C
43,F
43,H
44,A
44,D
44,F
44,G
45,B
45,D
45,E
45,F
46,A
46,B
46,D
46,F
46,G
47,C
47,D
47,G
47,H
48,A
48,C
48,D
48,F
48,G
49,B
49,C
49,G
49,H
50,A
50,D
50,E
50,F
50,G
51,E
51,G
51,H
52,B
52,C
53,A
53,D
53,F
53,G
53,H
54,A
54,D
54,E
54,F
54,G
54,H
55,B
55,C
55,E
56,A
56,B
56,C
56,D
56,E
56,F
56,G
57,A
57,B
57,H
58,A
58,C
59,B
59,C
59,F
60,D
60,H
61,B
61,E
61,H
62,A
62,B
62,E
62,F
63,B
63,C
63,F
63,H
64,A
64,D
64,F
64,G
65,B
65,D
65,E
65,F
66,A
66,B
66,D
66,F
66,G
67,C
67,D
67,G
67,H
68,A
68,C
68,D
68,F
68,G
69,B
69,C
69,G
69,H
70,A
70,D
70,E
70,F
70,G
71,E
71,G
71,H
72,B
72,C
73,A
73,D
73,F
73,G
73,H
74,A
74,D
74,E
74,F
74,G
74,H
75,B
75,C
75,E
76,A
76,B
76,C
76,D
76,E
76,F
76,G
77,A
77,B
77,H
78,A
78,C
79,B
79,C
79,F
80,D
80,H
81,B
81,E
81,H
82,A
82,B
82,E
82,F
83,B
83,C
83,F
83,H
84,A
84,D
84,F
84,G
85,B
85,D
85,E
85,F
86,A
86,B
86,D
86,F
86,G
87,C
87,D
87,G
87,H
88,A
88,C
88,D
88,F
88,G
89,B
89,C
89,G
89,H
90,A
90,D
90,E
90,F
90,G
91,E
91,G
91,H
92,B
92,C
93,A
93,D
93,F
93,G
93,H
94,A
94,D
94,E
94,F
94,G
94,H
95,B
95,C
95,E
96,A
96,B
96,C
96,D
96,E
96,F
96,G
97,A
97,B
97,H
98,A
98,C
99,B
99,C
99,F
100,D
100,H
101,B
101,E
101,H
102,A
102,B
102,E
102,F
103,B
103,C
103,F
103,H
104,A
104,D
104,F
104,G
105,B
105,D
105,E
105,F
106,A
106,B
106,D
106,F
106,G
107,C
107,D
107,G
107,H
108,A
108,C
108,D
108,F
108,G
109,B
109,C
109,G
109,H
110,A
110,D
110,E
110,F
110,G
111,E
111,G
111,H
112,B
112,C
113,A
113,D
113,F
113,G
113,H
114,A
114,D
114,E
114,F
114,G
114,H
115,B
