"1","Toronto","ON",4116.9,4198.2,4256,4346.3,4444.7
"2","Montreal","QC",3251.1,3288.9,3388.4,3335.6,3359
"3","Vancouver","WEST",1690.8,1734.3,1779.8,1832.9,1891.4
"4","Ottawa","ON",974.6,997.7,1010.7,1023.2,1030.5
"5","Edmonton","WEST",870.7,880.3,881.7,884.7,891.5
"6","Calgary","WEST",785.4,798.2,812.8,831.8,851.6
"7","Quebec","QC",672.3,682.6,689.4,693.4,697.6
"8","Winnipeg","PR",667.9,671.7,673.4,677.3,676.7
"9","Hamilton","ON",626.8,631.1,635.8,643.1,658.4
"10","London","ON",400.5,404.3,400.3,413.2,416.1
