"ulica" "br_dece"
"1" 1 21
"2" 2 76
"3" 3 50
"4" 4 85
"5" 5 37
"6" 6 63
"7" 7 53
"8" 8 12
"9" 9 19
"10" 10 83
"11" 11 52
"12" 12 30
"13" 13 92
"14" 14 46
"15" 15 55
"16" 16 19
"17" 17 52
"18" 18 93
"19" 19 53
"20" 20 47
"21" 21 93
"22" 22 87
"23" 23 90
"24" 24 71
"25" 25 33
"26" 26 68
"27" 27 78
"28" 28 96
"29" 29 2
"30" 30 1
"31" 31 33
"32" 32 13
"33" 33 94
"34" 34 83
"35" 35 20
"36" 36 50
"37" 37 43
"38" 38 77
"39" 39 7
"40" 40 36
"41" 41 84
"42" 42 83
"43" 43 83
"44" 44 14
"45" 45 22
"46" 46 5
"47" 47 55
"48" 48 68
"49" 49 68
"50" 50 80
"51" 51 72
"52" 52 100
"53" 53 67
"54" 54 77
"55" 55 84
"56" 56 11
"57" 57 47
"58" 58 77
"59" 59 91
"60" 60 43
"61" 61 19
"62" 62 18
"63" 63 53
"64" 64 98
"65" 65 82
"66" 66 34
"67" 67 33
"68" 68 47
"69" 69 12
"70" 70 33
"71" 71 39
"72" 72 6
"73" 73 27
"74" 74 87
"75" 75 58
"76" 76 63
"77" 77 57
"78" 78 59
"79" 79 61
"80" 80 23
"81" 81 4
"82" 82 26
"83" 83 72
"84" 84 67
"85" 85 25
"86" 86 42
"87" 87 40
"88" 88 25
"89" 89 88
"90" 90 25
"91" 91 78
"92" 92 61
"93" 93 18
"94" 94 56
"95" 95 82
"96" 96 74
"97" 97 76
"98" 98 71
"99" 99 17
"100" 100 22
"101" 101 3
"102" 102 47
"103" 103 12
"104" 104 82
"105" 105 59
"106" 106 21
"107" 107 34
"108" 108 79
"109" 109 86
"110" 110 66
"111" 111 49
"112" 112 38
"113" 113 89
"114" 114 41
"115" 115 94
"116" 116 67
"117" 117 5
"118" 118 24
"119" 119 68
"120" 120 26
"121" 121 93
"122" 122 30
"123" 123 25
"124" 124 44
"125" 125 42
"126" 126 6
"127" 127 75
"128" 128 28
"129" 129 44
"130" 130 16
"131" 131 21
"132" 132 28
"133" 133 67
"134" 134 94
"135" 135 79
"136" 136 34
"137" 137 35
"138" 138 57
"139" 139 70
"140" 140 37
"141" 141 14
"142" 142 82
"143" 143 12
"144" 144 64
"145" 145 19
"146" 146 33
"147" 147 15
"148" 148 49
"149" 149 1
"150" 150 28
"151" 151 50
"152" 152 15
"153" 153 35
"154" 154 77
"155" 155 22
"156" 156 18
"157" 157 60
"158" 158 37
"159" 159 96
"160" 160 71
"161" 161 30
"162" 162 79
"163" 163 33
"164" 164 62
"165" 165 98
"166" 166 38
"167" 167 17
"168" 168 55
"169" 169 63
"170" 170 62
"171" 171 52
"172" 172 79
"173" 173 82
"174" 174 35
"175" 175 87
"176" 176 83
"177" 177 18
"178" 178 42
"179" 179 61
"180" 180 75
"181" 181 37
"182" 182 40
"183" 183 33
"184" 184 93
"185" 185 18
"186" 186 91
"187" 187 77
"188" 188 79
"189" 189 89
"190" 190 76
"191" 191 14
"192" 192 58
"193" 193 84
"194" 194 82
"195" 195 77
"196" 196 6
"197" 197 66
"198" 198 65
"199" 199 51
"200" 200 22
"201" 201 9
"202" 202 66
"203" 203 1
"204" 204 51
"205" 205 56
"206" 206 95
"207" 207 8
"208" 208 39
"209" 209 60
"210" 210 63
"211" 211 22
"212" 212 15
"213" 213 17
"214" 214 64
"215" 215 17
"216" 216 5
"217" 217 29
"218" 218 61
"219" 219 51
"220" 220 50
"221" 221 51
"222" 222 88
"223" 223 8
"224" 224 37
"225" 225 10
"226" 226 44
"227" 227 28
"228" 228 16
"229" 229 72
"230" 230 67
"231" 231 77
"232" 232 41
"233" 233 61
"234" 234 96
"235" 235 83
"236" 236 0
"237" 237 62
"238" 238 91
"239" 239 14
"240" 240 44
"241" 241 7
"242" 242 48
"243" 243 3
"244" 244 79
"245" 245 21
"246" 246 33
"247" 247 8
"248" 248 96
"249" 249 77
"250" 250 31
"251" 251 99
"252" 252 70
"253" 253 23
"254" 254 87
"255" 255 89
"256" 256 89
"257" 257 0
"258" 258 80
"259" 259 85
"260" 260 25
"261" 261 96
"262" 262 47
"263" 263 16
"264" 264 38
"265" 265 49
"266" 266 81
"267" 267 47
"268" 268 17
"269" 269 92
"270" 270 27
"271" 271 18
"272" 272 77
"273" 273 6
"274" 274 53
"275" 275 72
"276" 276 71
"277" 277 20
"278" 278 53
"279" 279 32
"280" 280 15
"281" 281 55
"282" 282 64
"283" 283 35
"284" 284 26
"285" 285 86
"286" 286 89
"287" 287 67
"288" 288 87
"289" 289 30
"290" 290 55
"291" 291 52
"292" 292 66
"293" 293 53
"294" 294 81
"295" 295 60
"296" 296 74
"297" 297 71
"298" 298 19
"299" 299 31
"300" 300 60
"301" 301 54
"302" 302 4
"303" 303 81
"304" 304 33
"305" 305 20
"306" 306 53
"307" 307 81
"308" 308 23
"309" 309 8
"310" 310 8
"311" 311 61
"312" 312 97
"313" 313 2
"314" 314 60
"315" 315 86
"316" 316 5
"317" 317 16
"318" 318 37
"319" 319 86
"320" 320 26
"321" 321 87
"322" 322 67
"323" 323 91
"324" 324 33
"325" 325 27
"326" 326 42
"327" 327 86
"328" 328 92
"329" 329 1
"330" 330 48
"331" 331 39
"332" 332 37
"333" 333 25
"334" 334 29
"335" 335 36
"336" 336 23
"337" 337 96
"338" 338 46
"339" 339 82
"340" 340 15
"341" 341 91
"342" 342 6
"343" 343 2
"344" 344 25
"345" 345 81
"346" 346 3
"347" 347 45
"348" 348 32
"349" 349 26
"350" 350 39
"351" 351 34
"352" 352 22
"353" 353 86
"354" 354 12
"355" 355 89
"356" 356 0
"357" 357 14
"358" 358 62
"359" 359 62
"360" 360 58
"361" 361 1
"362" 362 2
"363" 363 73
"364" 364 94
"365" 365 69
"366" 366 72
"367" 367 55
"368" 368 91
"369" 369 42
"370" 370 53
"371" 371 49
"372" 372 42
"373" 373 41
"374" 374 14
"375" 375 44
"376" 376 23
"377" 377 39
"378" 378 66
"379" 379 44
"380" 380 85
"381" 381 45
"382" 382 12
"383" 383 39
"384" 384 32
"385" 385 39
"386" 386 63
"387" 387 76
"388" 388 100
"389" 389 57
"390" 390 76
"391" 391 45
"392" 392 97
"393" 393 77
"394" 394 42
"395" 395 22
"396" 396 88
"397" 397 97
"398" 398 72
"399" 399 44
"400" 400 76
"401" 401 97
"402" 402 80
"403" 403 77
"404" 404 8
"405" 405 2
"406" 406 54
"407" 407 81
"408" 408 41
"409" 409 11
"410" 410 61
"411" 411 9
"412" 412 13
"413" 413 0
"414" 414 21
"415" 415 56
"416" 416 90
"417" 417 88
"418" 418 86
"419" 419 10
"420" 420 20
"421" 421 28
"422" 422 86
"423" 423 51
"424" 424 39
"425" 425 67
"426" 426 53
"427" 427 75
"428" 428 2
"429" 429 27
"430" 430 84
"431" 431 32
"432" 432 12
"433" 433 86
"434" 434 53
"435" 435 29
"436" 436 94
"437" 437 2
"438" 438 83
"439" 439 27
"440" 440 49
"441" 441 25
"442" 442 2
"443" 443 69
"444" 444 11
"445" 445 15
"446" 446 59
"447" 447 8
"448" 448 13
"449" 449 8
"450" 450 59
"451" 451 0
"452" 452 15
"453" 453 38
"454" 454 14
"455" 455 68
"456" 456 47
"457" 457 89
"458" 458 63
"459" 459 64
"460" 460 46
"461" 461 94
"462" 462 97
"463" 463 89
"464" 464 42
"465" 465 62
"466" 466 64
"467" 467 85
"468" 468 71
"469" 469 88
"470" 470 48
"471" 471 70
"472" 472 94
"473" 473 91
"474" 474 50
"475" 475 59
"476" 476 80
"477" 477 83
"478" 478 96
"479" 479 87
"480" 480 52
"481" 481 80
"482" 482 55
"483" 483 16
"484" 484 69
"485" 485 9
"486" 486 3
"487" 487 71
"488" 488 23
"489" 489 60
"490" 490 98
"491" 491 1
"492" 492 15
"493" 493 34
"494" 494 57
"495" 495 98
"496" 496 70
"497" 497 11
"498" 498 46
"499" 499 21
"500" 500 58
"501" 501 71
"502" 502 36
"503" 503 92
"504" 504 18
"505" 505 63
"506" 506 37
"507" 507 13
"508" 508 74
"509" 509 53
"510" 510 68
"511" 511 26
"512" 512 80
